ID,Company name Latin alphabet,NAICS 2017; primary code(s),"Operating P/L [=EBIT]th USD 2021","Operating P/L [=EBIT]th USD 2020","Operating P/L [=EBIT]th USD 2019","Operating P/L [=EBIT]th USD 2018","Operating P/L [=EBIT]th USD 2017","Operating P/L [=EBIT]th USD 2016","Operating P/L [=EBIT]th USD 2015","Operating P/L [=EBIT]th USD 2014","Operating P/L [=EBIT]th USD 2013","Operating P/L [=EBIT]th USD 2012","P/L for period [=Net income]th USD 2021","P/L for period [=Net income]th USD 2020","P/L for period [=Net income]th USD 2019","P/L for period [=Net income]th USD 2018","P/L for period [=Net income]th USD 2017","P/L for period [=Net income]th USD 2016","P/L for period [=Net income]th USD 2015","P/L for period [=Net income]th USD 2014","P/L for period [=Net income]th USD 2013","P/L for period [=Net income]th USD 2012","Total assetsth USD 2021","Total assetsth USD 2020","Total assetsth USD 2019","Total assetsth USD 2018","Total assetsth USD 2017","Total assetsth USD 2016","Total assetsth USD 2015","Total assetsth USD 2014","Total assetsth USD 2013","Total assetsth USD 2012","Cash & cash equivalentth USD 2021","Cash & cash equivalentth USD 2020","Cash & cash equivalentth USD 2019","Cash & cash equivalentth USD 2018","Cash & cash equivalentth USD 2017","Cash & cash equivalentth USD 2016","Cash & cash equivalentth USD 2015","Cash & cash equivalentth USD 2014","Cash & cash equivalentth USD 2013","Cash & cash equivalentth USD 2012","Total Current Liabilitiesth USD 2021","Total Current Liabilitiesth USD 2020","Total Current Liabilitiesth USD 2019","Total Current Liabilitiesth USD 2018","Total Current Liabilitiesth USD 2017","Total Current Liabilitiesth USD 2016","Total Current Liabilitiesth USD 2015","Total Current Liabilitiesth USD 2014","Total Current Liabilitiesth USD 2013","Total Current Liabilitiesth USD 2012","Income Tax Payableth USD 2021","Income Tax Payableth USD 2020","Income Tax Payableth USD 2019","Income Tax Payableth USD 2018","Income Tax Payableth USD 2017","Income Tax Payableth USD 2016","Income Tax Payableth USD 2015","Income Tax Payableth USD 2014","Income Tax Payableth USD 2013","Income Tax Payableth USD 2012","Depreciationth USD 2021","Depreciationth USD 2020","Depreciationth USD 2019","Depreciationth USD 2018","Depreciationth USD 2017","Depreciationth USD 2016","Depreciationth USD 2015","Depreciationth USD 2014","Depreciationth USD 2013","Depreciationth USD 2012"
56,NUCOR CORP,331110,n.a.,1017469,1900921,3310073,1901716,1442039,410580,1300943,933455,1028638,n.a.,721470,1271143,2360767,1318688,796271,80724,679337,488025,504619,n.a.,20125394,18344666,17920588,15841258,15223518,14326969,15615927,15203283,14152058,n.a.,3047675,1834645,1398886,999104,2195961,2039469,1124144,1511443,1157029,n.a.,2627860,2463774,2806300,2824764,2389966,1385173,2097776,1960216,2029568,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,13100,14600,n.a.,n.a.,-711845,-648911,-630879,-635833,-613192,-625757,-652000,-535852,-534010
57,CUMMINS INC.,333618,n.a.,1817000,2489000,2392000,1982000,1717000,1892000,1998000,1742000,1936000,n.a.,1789000,2251000,2141000,999000,1394000,1399000,1651000,1483000,1645000,n.a.,22624000,19737000,19062000,18075000,15011000,15134000,15764000,14728000,12548000,n.a.,3862000,1470000,1525000,1567000,1380000,1811000,2394000,2849000,1616000,n.a.,6335000,6260000,6384000,5677000,4325000,3803000,4021000,3368000,3136000,n.a.,82000,280000,n.a.,n.a.,n.a.,n.a.,n.a.,99000,173000,n.a.,-508000,-497000,-456000,-468000,-438000,-421000,-356000,-321000,-297000
58,WHIRLPOOL CORP,335220,n.a.,1904000,1322000,526000,1411000,1541000,1443000,1324000,1445000,1106000,n.a.,1081000,1184000,-183000,350000,888000,783000,650000,827000,401000,n.a.,20436000,18881000,18347000,20038000,19153000,19010000,20002000,15544000,15396000,n.a.,2924000,1952000,1498000,1196000,1085000,772000,1026000,1380000,1168000,n.a.,8330000,8369000,9678000,8505000,7662000,7744000,8403000,6794000,6510000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-218000,-330000,-323000,-300000,-584000,-594000,-527000,-515000,-521000
59,MCDONALD'S CORPORATION,722513,n.a.,6915800,8862800,8598700,8278100,7721900,7342600,7797200,8464900,8325800,n.a.,4730500,6025400,5924300,5192300,4686500,4529300,4757800,5585900,5464800,n.a.,52626800,47510800,32811200,33803700,31023900,37938700,34227400,36626300,35386500,n.a.,3449100,912500,1037600,2463800,1367800,7690000,2215800,2814700,2469400,n.a.,6181200,3621000,2973500,2890600,3468300,2950400,2747900,3170000,3403100,n.a.,741100,331700,228300,265800,267200,154800,166800,215500,298700,n.a.,-1469400,-1392200,-1302900,-1363400,-1516500,-1555700,-1644500,-1585100,-1488500
60,KIMBERLY CLARK CORP,322291,n.a.,3691000,3312000,3138000,3358000,3383000,1613000,2521000,2903000,2377000,n.a.,2352000,2157000,1410000,2278000,2166000,1013000,1526000,2142000,1750000,n.a.,17523000,15283000,14518000,15151000,14602000,14842000,15526000,18919000,19873000,n.a.,303000,442000,539000,616000,923000,619000,789000,1054000,1106000,n.a.,6443000,6919000,6536000,5858000,5846000,6349000,6226000,5848000,6091000,n.a.,332000,231000,260000,249000,259000,329000,330000,336000,336000,n.a.,-796000,-917000,-882000,-724000,-705000,-746000,-862000,-863000,-857000
61,WESTROCK COMPANY,322212,1309800,-144600,1661800,1476800,979900,796700,1004800,957900,892200,605200,838300,-690900,862900,1906100,708200,-396300,507100,479700,727300,249100,29254300,28779700,30156700,25360500,25089000,23038200,25372400,11039700,10733400,10687100,290900,251100,151600,636800,298100,340900,207800,32600,36400,37200,3644100,2928900,3435100,3333300,3009800,2183000,2178800,1360500,1243400,1408300,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1099400,-1081600,-1103200,-951400,-878100,-910700,-609700,-492000,-461300,-434600
62,PACCAR INC,336120,n.a.,1760000,3206000,2876800,2294000,2076400,2442600,2134400,1826300,1753600,n.a.,1298400,2387900,2195100,1675200,521700,1604000,1358800,1171300,1111600,n.a.,28260000,28361100,25482400,23440200,20638900,21109800,20618800,20725500,18627800,n.a.,4968600,5337200,4456300,3731800,3056600,3464500,3009600,3017600,2465100,n.a.,4217500,4619700,4246000,3457800,2639500,2921200,3036100,3015500,6040500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1049000,-1077300,-1054100,-1107500,-993100,-907100,-917700,-810700,-700900
63,CDW CORP,541512,n.a.,1179200,1133600,987300,866500,820000,742000,673000,508600,510600,n.a.,788500,736800,643000,523100,425100,403100,244900,132800,119000,n.a.,9344700,7999400,7167700,6966700,6948400,6755300,6075900,5924600,5720000,n.a.,1410200,154000,205800,144200,263700,37600,344500,188100,37900,n.a.,3898300,3491400,2803100,2522100,2280700,1887300,1468000,1402600,1168200,n.a.,n.a.,n.a.,n.a.,16200,n.a.,n.a.,200,6300,200,n.a.,-213000,-41000,-42000,-40000,-38000,-28600,-25800,-27200,-210200
64,EMERSON ELECTRIC CO,334513,3216000,2775000,3130000,2906000,2573000,2497000,3059000,3421000,3491000,3408000,2303000,1965000,2306000,2203000,1518000,1635000,2710000,2147000,2004000,1968000,24715000,22882000,20497000,20390000,19589000,21732000,22088000,24177000,24711000,23818000,2354000,3315000,1494000,1093000,3062000,3182000,3054000,3149000,3275000,2367000,6246000,5785000,5976000,6164000,5045000,8008000,7800000,8454000,7625000,7133000,n.a.,n.a.,n.a.,64000,65000,180000,86000,162000,129000,128000,-499000,-485000,-463000,-444000,-414000,-391000,-399000,-402000,-521000,-505000
65,L3HARRIS TECHNOLOGIES; INC.,334290,n.a.,1230000,610000,920000,893000,1055000,632000,881900,795000,941100,n.a.,1119000,822000,699000,543000,324000,334000,534800,113000,30600,n.a.,36960000,38336000,9851000,10090000,12009000,13127000,4919000,4858400,5592800,n.a.,1276000,824000,288000,484000,487000,481000,561000,321000,356000,n.a.,4240000,4009000,1850000,1926000,1981000,2274000,1115000,1297400,1414400,n.a.,49000,24000,15000,31000,4000,57000,2000,1800,12800,n.a.,-318000,-157000,-143000,-160000,-229000,-204000,-145000,-146400,-143000
66,GENERAL MILLS INC,311230,3371000,3036900,2674900,2509800,2764400,2794500,2829500,2910700,2855200,2664000,2339800,2181200,1752700,2131000,1657500,1697400,1221300,1824400,1855200,1567300,31841900,30806700,30111200,30624000,21812600,21712300,21832000,23145700,22658000,21096800,1865200,1677800,450000,399000,766100,763700,334200,867300,741400,471200,8265800,7491500,7087100,7341900,5330800,5014700,4890100,5423500,5293900,3843200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-601300,-594700,-620100,-618800,-603600,-608100,-588300,-585400,-588000,-541500
67,DXC TECHNOLOGY COMPANY,541511,n.a.,-123000,-5134000,2634000,2612000,71000,-309000,n.a.,1470000,145000,n.a.,-149000,-5369000,1257000,1751000,-123000,2000,n.a.,947000,-1000,n.a.,22038000,26006000,29574000,33921000,8663000,10221000,n.a.,11389000,11251000,n.a.,2968000,3679000,2899000,2593000,1263000,2076000,n.a.,2443000,2054000,n.a.,8150000,7895000,9453000,9852000,2950000,3564000,n.a.,3462000,3349000,n.a.,398000,87000,208000,127000,38000,25000,n.a.,77000,34000,n.a.,-772000,-661000,-875000,-928000,-338000,-603000,n.a.,-661000,-1070000
68,CARRIER GLOBAL CORP,333415,n.a.,1874000,2381000,2698000,2544000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1982000,2116000,2734000,1227000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,25093000,22406000,21737000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3115000,952000,1129000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5110000,4469000,4466000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,234000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-234000,-219000,-221000,-226000,n.a.,n.a.,n.a.,n.a.,n.a.
69,LEAR CORP,336360,n.a.,597700,1255000,1709900,1685000,1484400,1207000,960900,756400,753900,n.a.,158500,753600,1149800,1313400,975100,745500,672400,431400,1282800,n.a.,13198600,12680700,11600700,11945900,9900600,9405800,9113100,8330900,8194100,n.a.,1316000,1487700,1493200,1500400,1271600,1196600,1094100,1137700,1402200,n.a.,5076700,4666200,4500600,4854300,4182300,3839600,3945100,3579100,3216900,n.a.,287700,256600,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-474000,-447600,-433000,-380100,-325200,-295300,-277200,-251100,-206600
70,WESTERN DIGITAL CORP,334112,1225000,452000,398000,3814000,2178000,774000,1720000,1938000,2085000,2126000,821000,-250000,-754000,675000,397000,242000,1465000,1617000,980000,1612000,26132000,25662000,26370000,29235000,29860000,32862000,15170000,15499000,14036000,14206000,3370000,3048000,3455000,5005000,6378000,8378000,5286000,5088000,4309000,3208000,4870000,4406000,3817000,4456000,4344000,6949000,3238000,3845000,3973000,4032000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-726000,-797000,-844000,-871000,-960000,-888000,-943000,-1031000,-1024000,-746000
71,NVIDIA CORP,334111,n.a.,4532000,2846000,3804000,3210000,1937000,878000,758989,496227,648239,n.a.,4332000,2796000,4141000,3047000,1666000,614000,630587,439990,562536,n.a.,28791000,17315000,13292000,11241000,9841000,7370000,7201000,7250894,6412245,n.a.,11561000,10897000,7422000,7108000,6798000,5037000,4623000,4671810,3727883,n.a.,3925000,1784000,1329000,1153000,1788000,2351000,896000,945496,976223,n.a.,61000,61000,91000,20000,21000,2000,3000,2378,3173,n.a.,-486000,-356000,-233000,-144000,-119000,-124000,-143125,-166448,-157600
72,COGNIZANT TECHNOLOGY SOLUTIONS CORP,541511,n.a.,2394000,2670000,2978000,2805000,2375000,2147100,2000529,1899185,1361496,n.a.,1392000,1842000,2101000,1504000,1553000,1623600,1439267,1228578,1051263,n.a.,16923000,16204000,15846000,15221000,14262000,13061000,11479000,8134718,6521571,n.a.,2724000,3424000,4511000,5056000,5169000,4949000,3774700,3747473,2863758,n.a.,3540000,2983000,2710000,2839000,2418000,2714000,2592100,1774508,1377330,n.a.,34000,152000,162000,48000,10000,17000,23800,24312,30024,n.a.,-407000,-364000,-347000,-313000,-266000,-233100,-174111,-155681,-137561
73,COLGATE PALMOLIVE CO,325611,n.a.,3862000,3661000,3836000,4009000,4178000,4167000,4204000,4117000,3987000,n.a.,2695000,2367000,2400000,2024000,2441000,1384000,2180000,2241000,2472000,n.a.,15920000,15034000,12161000,12676000,12123000,11935000,13459000,13985000,13394000,n.a.,925000,906000,736000,1549000,1338000,1031000,1331000,962000,884000,n.a.,4404000,4038000,3341000,3408000,3305000,3534000,3946000,4579000,3736000,n.a.,403000,370000,411000,354000,441000,277000,294000,239000,254000,n.a.,-451000,-457000,-452000,-440000,-410000,-416000,-410000,-407000,-394000
74,FLUOR CORP,541330,n.a.,-153031,-675101,448216,94032,602129,999720,1219644,1187158,733987,n.a.,-435046,-1522164,173468,153671,281401,412512,510909,667711,456330,n.a.,7309812,7966658,8882555,9327692,9216417,7625406,8194429,8323850,8276043,n.a.,2222126,2004461,1979574,1965209,1961473,2146978,2098256,2469605,2291668,n.a.,3572037,3905122,3659228,3574170,3816029,2935352,3330853,3407160,3887114,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-102451,-154599,-197585,-206113,-211095,-188700,-191701,-206331,-210441
75,TENNECO INC.,336390,n.a.,-672000,289000,557000,476000,621000,575000,541000,504000,448000,n.a.,-1521000,-334000,55000,198000,347000,241000,225000,183000,275000,n.a.,11852000,13226000,13232000,4796000,4346000,3970000,3996000,3830000,3608000,n.a.,798000,564000,697000,315000,347000,287000,282000,275000,223000,n.a.,4686000,4299000,4320000,2277000,1973000,1794000,1799000,1838000,1649000,n.a.,54000,72000,64000,27000,39000,37000,40000,40000,50000,n.a.,-509000,-535000,-313000,-226000,-213000,-203000,-208000,-205000,-198000
